source,target,value
0,1,0.8921
0,2,0.5526
0,3,0.1126
1,4,0.8071
1,5,0.085
2,4,0.0835
2,6,0.3705
2,7,0.0986
3,8,0.036
3,9,0.0513
3,4,0.0253
4,10,0.04336666667
4,11,0.05126666667
4,12,0.0581
4,13,0.07146666667
4,14,0.08166666667
5,10,0.0173
5,11,0.0177
5,12,0.0179
5,13,0.0166
5,14,0.0155
6,10,0.0495
6,11,0.0623
6,12,0.076
6,13,0.0851
6,14,0.0976
7,10,0.015
7,11,0.0146
7,12,0.0142
7,13,0.0235
7,14,0.0313
8,10,0.0075
8,11,0.0072
8,12,0.0079
8,13,0.0068
8,14,0.0066
9,10,0.0086
9,11,0.0086
9,12,0.0087
9,13,0.0103
9,14,0.0151
